identificador;clase;cu;canton
10569021;AUTOMOVIL;1.0;21701
10569023;AUTOMOVIL;1.0;21701
10569024;AUTOMOVIL;1.0;21701
10569026;AUTOMOVIL;1.0;21701
10569029;AUTOMOVIL;1.0;21701
10569030;AUTOMOVIL;1.0;21701
10569042;AUTOMOVIL;1.0;21701
10570853;AUTOMOVIL;1.0;21701
10570854;AUTOMOVIL;1.0;21701
10570863;AUTOMOVIL;1.0;21701
10570869;AUTOMOVIL;1.0;21701
10570875;AUTOMOVIL;1.0;21701
10570878;AUTOMOVIL;1.0;21701
10570880;AUTOMOVIL;1.0;21701
10571058;AUTOMOVIL;1.0;21701
10571060;AUTOMOVIL;1.0;21701
10571063;AUTOMOVIL;1.0;21701
10571064;AUTOMOVIL;1.0;21701
10571069;AUTOMOVIL;1.0;21701
10571070;AUTOMOVIL;1.0;21701
10571072;AUTOMOVIL;1.0;21701
10571106;AUTOMOVIL;1.0;21701
10571114;AUTOMOVIL;1.0;21701
10571115;AUTOMOVIL;1.0;21701
10571117;AUTOMOVIL;1.0;21701
10571126;AUTOMOVIL;1.0;21701
10571132;AUTOMOVIL;1.0;21701
10571157;AUTOMOVIL;1.0;21701
10571310;AUTOMOVIL;1.0;21701
10571312;AUTOMOVIL;1.0;21701
10571313;AUTOMOVIL;1.0;21701
10571315;AUTOMOVIL;1.0;21701
10571316;AUTOMOVIL;1.0;21701
10571318;AUTOMOVIL;1.0;21701
10571319;AUTOMOVIL;1.0;21701
10573004;AUTOMOVIL;1.0;21701
10574949;AUTOMOVIL;1.0;21701
10576461;AUTOMOVIL;1.0;21701
10577931;AUTOMOVIL;1.0;21701
10577934;AUTOMOVIL;1.0;21701
10577945;AUTOMOVIL;1.0;21701
10577946;AUTOMOVIL;1.0;21701
10577951;AUTOMOVIL;1.0;21701
10577954;AUTOMOVIL;1.0;21701
10578815;AUTOMOVIL;1.0;21701
10578816;AUTOMOVIL;1.0;21701
10579065;AUTOMOVIL;1.0;21701
10579187;AUTOMOVIL;1.0;21701
10579637;AUTOMOVIL;1.0;21701
10579638;AUTOMOVIL;1.0;21701
10579640;AUTOMOVIL;1.0;21701
10579697;AUTOMOVIL;1.0;21701
10579731;AUTOMOVIL;1.0;21701
10579734;AUTOMOVIL;1.0;21701
10579743;AUTOMOVIL;1.0;21701
10579902;AUTOMOVIL;1.0;21701
10579904;AUTOMOVIL;1.0;21701
10579905;AUTOMOVIL;1.0;21701
10579907;AUTOMOVIL;1.0;21701
10579986;AUTOMOVIL;1.0;21701
10580003;AUTOMOVIL;1.0;21701
10580004;AUTOMOVIL;1.0;21701
10580006;AUTOMOVIL;1.0;21701
10580007;AUTOMOVIL;1.0;21701
10580018;AUTOMOVIL;1.0;21701
10580019;AUTOMOVIL;1.0;21701
10580021;AUTOMOVIL;1.0;21701
10580043;AUTOMOVIL;1.0;21701
10580045;AUTOMOVIL;1.0;21701
10580051;AUTOMOVIL;1.0;21701
10580052;AUTOMOVIL;1.0;21701
10580130;AUTOMOVIL;1.0;21701
10580133;AUTOMOVIL;1.0;21701
10580135;AUTOMOVIL;1.0;21701
10580138;AUTOMOVIL;1.0;21701
10580139;AUTOMOVIL;1.0;21701
10580156;AUTOMOVIL;1.0;21701
10580159;AUTOMOVIL;1.0;21701
10582212;AUTOMOVIL;1.0;21701
10584413;AUTOMOVIL;1.0;21701
10584741;AUTOMOVIL;1.0;21701
10584749;AUTOMOVIL;1.0;21701
10584756;AUTOMOVIL;1.0;21701
10584759;AUTOMOVIL;1.0;21701
10584767;AUTOMOVIL;1.0;21701
10584768;AUTOMOVIL;1.0;21701
10584770;AUTOMOVIL;1.0;21701
10584779;AUTOMOVIL;1.0;21701
10584780;AUTOMOVIL;1.0;21701
10584786;AUTOMOVIL;1.0;21701
10584789;AUTOMOVIL;1.0;21701
10584792;AUTOMOVIL;1.0;21701
10584798;AUTOMOVIL;1.0;21701
10584818;AUTOMOVIL;1.0;21701
10584828;AUTOMOVIL;1.0;21701
10584830;AUTOMOVIL;1.0;21701
10584831;AUTOMOVIL;1.0;21701
10584833;AUTOMOVIL;1.0;21701
10584855;AUTOMOVIL;1.0;21701
10584858;AUTOMOVIL;1.0;21701
10584860;AUTOMOVIL;1.0;21701
10585226;AUTOMOVIL;1.0;21701
10585539;AUTOMOVIL;1.0;21701
10585542;AUTOMOVIL;1.0;21701
10585545;AUTOMOVIL;1.0;21701
10585550;AUTOMOVIL;1.0;21701
10585556;AUTOMOVIL;1.0;21701
10585566;AUTOMOVIL;1.0;21701
10585568;AUTOMOVIL;1.0;21701
10586408;AUTOMOVIL;1.0;21701
10586432;AUTOMOVIL;1.0;21701
10588757;AUTOMOVIL;1.0;21701
10588763;AUTOMOVIL;1.0;21701
10593713;AUTOMOVIL;1.0;21701
10593765;AUTOMOVIL;1.0;21701
10593968;AUTOMOVIL;1.0;21701
10597107;AUTOMOVIL;1.0;21701
10597109;AUTOMOVIL;1.0;21701
10597124;AUTOMOVIL;1.0;21701
10597284;AUTOMOVIL;1.0;21701
10597286;AUTOMOVIL;1.0;21701
10597334;AUTOMOVIL;1.0;21701
10597335;AUTOMOVIL;1.0;21701
10597337;AUTOMOVIL;1.0;21701
10597368;AUTOMOVIL;1.0;21701
10597370;AUTOMOVIL;1.0;21701
10597413;AUTOMOVIL;1.0;21701
10597416;AUTOMOVIL;1.0;21701
10597470;AUTOMOVIL;1.0;21701
10597472;AUTOMOVIL;1.0;21701
10597473;AUTOMOVIL;1.0;21701
10597476;AUTOMOVIL;1.0;21701
10597478;AUTOMOVIL;1.0;21701
10597479;AUTOMOVIL;1.0;21701
10597493;AUTOMOVIL;1.0;21701
10597497;AUTOMOVIL;1.0;21701
10597502;AUTOMOVIL;1.0;21701
10597503;AUTOMOVIL;1.0;21701
10598259;AUTOMOVIL;1.0;21701
10598261;AUTOMOVIL;1.0;21701
10598262;AUTOMOVIL;1.0;21701
10598264;AUTOMOVIL;1.0;21701
10598267;AUTOMOVIL;1.0;21701
10598268;AUTOMOVIL;1.0;21701
10598271;AUTOMOVIL;1.0;21701
10598274;AUTOMOVIL;1.0;21701
10598279;AUTOMOVIL;1.0;21701
